2005031508   120.50,  25.00,   3.67,   24.33
2005031511   120.50,  25.00,   4.18,   15.83
2005031514   120.50,  25.00,   6.07,    0.38
2005031517   120.50,  25.00,   5.44,   25.48
2005031520   120.50,  25.00,   4.55,   30.51
2005031523   120.50,  25.00,   2.36,   27.54
2005031602   120.50,  25.00,   3.22,   12.36
2005031605   120.50,  25.00,   2.89,   28.34
2005031608   120.50,  25.00,   2.25,   21.90
2005031611   120.50,  25.00,   3.88,  331.32
2005031614   120.50,  25.00,   5.42,  315.37
2005031617   120.50,  25.00,   2.78,  318.50
2005031620   120.50,  25.00,   0.87,   55.76
2005031623   120.50,  25.00,   2.60,  196.55
2005031702   120.50,  25.00,   3.95,  233.13
2005031705   120.50,  25.00,   4.51,  228.50
2005031708   120.50,  25.00,   4.35,  215.55
2005031711   120.50,  25.00,   4.91,  240.72
2005031714   120.50,  25.00,   4.66,  249.66
2005031717   120.50,  25.00,   6.82,   42.86
2005031720   120.50,  25.00,  11.41,   62.42
2005031723   120.50,  25.00,  14.09,   57.20
2005031802   120.50,  25.00,  14.38,   58.94
2005031805   120.50,  25.00,  13.82,   59.28
2005031808   120.50,  25.00,  16.08,   53.22
2005031811   120.50,  25.00,  15.86,   52.58
2005031814   120.50,  25.00,  15.67,   49.35
2005031817   120.50,  25.00,  14.95,   52.80
2005031820   120.50,  25.00,  12.91,   65.92
2005031823   120.50,  25.00,  11.89,   64.75
2005031902   120.50,  25.00,  11.75,   63.78
2005031905   120.50,  25.00,  11.57,   63.86
2005031908   120.50,  25.00,  12.78,   53.46
2005031911   120.50,  25.00,  11.99,   58.36
2005031914   120.50,  25.00,  10.85,   46.12
2005031917   120.50,  25.00,   9.68,   53.65
2005031920   120.50,  25.00,   8.39,   44.42
2005031923   120.50,  25.00,   6.58,   53.22
2005032002   120.50,  25.00,   4.85,   37.63
2005032005   120.50,  25.00,   3.97,   27.92
2005032008   120.50,  25.00,   5.85,   29.72
2005032011   120.50,  25.00,   5.88,   16.90
2005032014   120.50,  25.00,   7.42,   17.90
2005032017   120.50,  25.00,   8.16,   41.82
2005032020   120.50,  25.00,   7.30,   48.39
2005032023   120.50,  25.00,   8.77,   49.72
2005032102   120.50,  25.00,   7.16,   61.82
2005032105   120.50,  25.00,   6.04,   56.68
2005032108   120.50,  25.00,   5.79,   35.37
2005032111   120.50,  25.00,   5.19,    6.63
2005032114   120.50,  25.00,   6.58,  340.66
2005032117   120.50,  25.00,   5.75,  328.22
2005032120   120.50,  25.00,   4.43,  319.30
2005032123   120.50,  25.00,   1.52,  228.74
2005032202   120.50,  25.00,   2.29,  191.31
2005032205   120.50,  25.00,   4.28,  201.35
2005032208   120.50,  25.00,   5.87,  210.19
2005032211   120.50,  25.00,   7.36,  234.13
2005032214   120.50,  25.00,   5.72,  239.45
2005032217   120.50,  25.00,   6.92,  228.75
2005032220   120.50,  25.00,   4.81,  215.70
2005032223   120.50,  25.00,   1.83,  194.57
2005032302   120.50,  25.00,   3.71,  311.94
2005032305   120.50,  25.00,   8.32,   15.41
2005032308   120.50,  25.00,  12.58,   39.61
2005032311   120.50,  25.00,  13.94,   41.34
2005032314   120.50,  25.00,  12.14,   43.20
2005032317   120.50,  25.00,  11.32,   43.93
2005032320   120.50,  25.00,  12.15,   51.52
2005032323   120.50,  25.00,  12.19,   59.31
2005032402   120.50,  25.00,  10.72,   61.12
2005032405   120.50,  25.00,  10.72,   52.62
2005032408   120.50,  25.00,  10.21,   49.73
2005032411   120.50,  25.00,  11.32,   40.70
2005032414   120.50,  25.00,  13.33,   43.57
2005032417   120.50,  25.00,  14.56,   53.94
2005032420   120.50,  25.00,  12.91,   72.70
2005032423   120.50,  25.00,  12.77,   74.23
2005032502   120.50,  25.00,  11.90,   69.74
2005032505   120.50,  25.00,  12.50,   65.98
2005032508   120.50,  25.00,  11.78,   72.61
2005032511   120.50,  25.00,  10.57,   56.85
2005032514   120.50,  25.00,  10.92,   45.00
